variable,tipo de variable,
Urban.land.area.where.elevation.is.below.5.meters....of.total.land.area.,Climate.Change,
Urban.land.area.where.elevation.is.below.5.meters..sq..km.,Climate.Change,
Urban.population,Climate.Change,
Urban.population....of.total.population.,Climate.Change,
Urban.population.growth..annual...,Climate.Change,
Urban.population.living.in.areas.where.elevation.is.below.5.meters....of.total.population.,Climate.Change,
,,
,,
,,
,,
,,
Adjusted.net.national.income..annual...growth.,Economy...Growth,
Adjusted.net.national.income..constant.2015.US$.,Economy...Growth,
Adjusted.net.national.income..current.US$.,Economy...Growth,
Adjusted.net.national.income.per.capita..annual...growth.,Economy...Growth,
Adjusted.net.national.income.per.capita..constant.2015.US$.,Economy...Growth,
Adjusted.net.national.income.per.capita..current.US$.,Economy...Growth,
"Adjusted.net.savings,.excluding.particulate.emission.damage....of.GNI.",Economy...Growth,
"Adjusted.net.savings,.excluding.particulate.emission.damage..current.US$.",Economy...Growth,
"Adjusted.net.savings,.including.particulate.emission.damage....of.GNI.",Economy...Growth,
"Adjusted.net.savings,.including.particulate.emission.damage..current.US$.",Economy...Growth,
Adjusted.savings:.carbon.dioxide.damage....of.GNI.,Economy...Growth,
Adjusted.savings:.carbon.dioxide.damage..current.US$.,Economy...Growth,
Adjusted.savings:.consumption.of.fixed.capital....of.GNI.,Economy...Growth,
Adjusted.savings:.consumption.of.fixed.capital..current.US$.,Economy...Growth,
Adjusted.savings:.education.expenditure....of.GNI.,Economy...Growth,
Adjusted.savings:.education.expenditure..current.US$.,Economy...Growth,
Adjusted.savings:.energy.depletion....of.GNI.,Economy...Growth,
Adjusted.savings:.energy.depletion..current.US$.,Economy...Growth,
Adjusted.savings:.gross.savings....of.GNI.,Economy...Growth,
Adjusted.savings:.mineral.depletion....of.GNI.,Economy...Growth,
Adjusted.savings:.mineral.depletion..current.US$.,Economy...Growth,
Adjusted.savings:.natural.resources.depletion....of.GNI.,Economy...Growth,
Adjusted.savings:.net.forest.depletion....of.GNI.,Economy...Growth,
Adjusted.savings:.net.forest.depletion..current.US$.,Economy...Growth,
Adjusted.savings:.net.national.savings....of.GNI.,Economy...Growth,
Adjusted.savings:.net.national.savings..current.US$.,Economy...Growth,
Adjusted.savings:.particulate.emission.damage....of.GNI.,Economy...Growth,
Adjusted.savings:.particulate.emission.damage..current.US$.,Economy...Growth,
"Agriculture,.forestry,.and.fishing,.value.added....of.GDP.",Economy...Growth,
"Agriculture,.forestry,.and.fishing,.value.added..annual...growth.",Economy...Growth,
"Agriculture,.forestry,.and.fishing,.value.added..constant.2015.US$.",Economy...Growth,
"Agriculture,.forestry,.and.fishing,.value.added..constant.LCU.",Economy...Growth,
"Agriculture,.forestry,.and.fishing,.value.added..current.LCU.",Economy...Growth,
"Agriculture,.forestry,.and.fishing,.value.added..current.US$.",Economy...Growth,
"Agriculture,.forestry,.and.fishing,.value.added.per.worker..constant.2015.US$.",Economy...Growth,
"Central.government.debt,.total....of.GDP.",Economy...Growth,
Changes.in.inventories..constant.LCU.,Economy...Growth,
Changes.in.inventories..current.LCU.,Economy...Growth,
Changes.in.inventories..current.US$.,Economy...Growth,
"Charges.for.the.use.of.intellectual.property,.payments..BoP,.current.US$.",Economy...Growth,
"Charges.for.the.use.of.intellectual.property,.receipts..BoP,.current.US$.",Economy...Growth,
Chemicals....of.value.added.in.manufacturing.,Economy...Growth,
"Communications,.computer,.etc.....of.service.exports,.BoP.",Economy...Growth,
"Communications,.computer,.etc.....of.service.imports,.BoP.",Economy...Growth,
Current.account.balance....of.GDP.,Economy...Growth,
"Current.account.balance..BoP,.current.US$.",Economy...Growth,
DEC.alternative.conversion.factor..LCU.per.US$.,Economy...Growth,
Discrepancy.in.expenditure.estimate.of.GDP..constant.LCU.,Economy...Growth,
Discrepancy.in.expenditure.estimate.of.GDP..current.LCU.,Economy...Growth,
Expense....of.GDP.,Economy...Growth,
Exports.as.a.capacity.to.import..constant.LCU.,Economy...Growth,
Exports.of.goods.and.services....of.GDP.,Economy...Growth,
"Exports.of.goods.and.services..BoP,.current.US$.",Economy...Growth,
Exports.of.goods.and.services..annual...growth.,Economy...Growth,
Exports.of.goods.and.services..constant.2015.US$.,Economy...Growth,
Exports.of.goods.and.services..constant.LCU.,Economy...Growth,
Exports.of.goods.and.services..current.LCU.,Economy...Growth,
Exports.of.goods.and.services..current.US$.,Economy...Growth,
"Exports.of.goods,.services.and.primary.income..BoP,.current.US$.",Economy...Growth,
External.balance.on.goods.and.services....of.GDP.,Economy...Growth,
External.balance.on.goods.and.services..constant.LCU.,Economy...Growth,
External.balance.on.goods.and.services..current.LCU.,Economy...Growth,
External.balance.on.goods.and.services..current.US$.,Economy...Growth,
External.debt.stocks....of.GNI.,Economy...Growth,
"External.debt.stocks,.total..DOD,.current.US$.",Economy...Growth,
Final.consumption.expenditure....of.GDP.,Economy...Growth,
Final.consumption.expenditure..annual...growth.,Economy...Growth,
Final.consumption.expenditure..constant.2015.US$.,Economy...Growth,
Final.consumption.expenditure..constant.LCU.,Economy...Growth,
Final.consumption.expenditure..current.LCU.,Economy...Growth,
Final.consumption.expenditure..current.US$.,Economy...Growth,
Financial.intermediary.services.indirectly.Measured..FISIM...constant.LCU.,Economy...Growth,
Financial.intermediary.services.indirectly.Measured..FISIM...current.LCU.,Economy...Growth,
"Food,.beverages.and.tobacco....of.value.added.in.manufacturing.",Economy...Growth,
"Foreign.direct.investment,.net..BoP,.current.US$.",Economy...Growth,
"Foreign.direct.investment,.net.inflows....of.GDP.",Economy...Growth,
"Foreign.direct.investment,.net.inflows..BoP,.current.US$.",Economy...Growth,
"Foreign.direct.investment,.net.outflows....of.GDP.",Economy...Growth,
"Foreign.direct.investment,.net.outflows..BoP,.current.US$.",Economy...Growth,
GDP..constant.2015.US$.,Economy...Growth,
GDP..constant.LCU.,Economy...Growth,
GDP..current.LCU.,Economy...Growth,
GDP..current.US$.,Economy...Growth,
GDP.deflator..base.year.varies.by.country.,Economy...Growth,
GDP.growth..annual...,Economy...Growth,
GDP.per.capita..constant.2015.US$.,Economy...Growth,
GDP.per.capita..constant.LCU.,Economy...Growth,
GDP.per.capita..current.LCU.,Economy...Growth,
GDP.per.capita..current.US$.,Economy...Growth,
GDP.per.capita.growth..annual...,Economy...Growth,
"GDP.per.capita,.PPP..constant.2017.international.$.",Economy...Growth,
"GDP.per.capita,.PPP..current.international.$.",Economy...Growth,
"GDP,.PPP..constant.2017.international.$.",Economy...Growth,
"GDP,.PPP..current.international.$.",Economy...Growth,
GDP:.linked.series..current.LCU.,Economy...Growth,
GNI..constant.2015.US$.,Economy...Growth,
GNI..constant.LCU.,Economy...Growth,
GNI..current.LCU.,Economy...Growth,
GNI..current.US$.,Economy...Growth,
GNI.growth..annual...,Economy...Growth,
GNI.per.capita..constant.2015.US$.,Economy...Growth,
GNI.per.capita..constant.LCU.,Economy...Growth,
GNI.per.capita..current.LCU.,Economy...Growth,
GNI.per.capita.growth..annual...,Economy...Growth,
"GNI.per.capita,.Atlas.method..current.US$.",Economy...Growth,
"GNI.per.capita,.PPP..constant.2017.international.$.",Economy...Growth,
"GNI.per.capita,.PPP..current.international.$.",Economy...Growth,
"GNI,.Atlas.method..current.US$.",Economy...Growth,
"GNI,.PPP..constant.2017.international.$.",Economy...Growth,
"GNI,.PPP..current.international.$.",Economy...Growth,
GNI:.linked.series..current.LCU.,Economy...Growth,
General.government.final.consumption.expenditure....of.GDP.,Economy...Growth,
General.government.final.consumption.expenditure..annual...growth.,Economy...Growth,
General.government.final.consumption.expenditure..constant.2015.US$.,Economy...Growth,
General.government.final.consumption.expenditure..constant.LCU.,Economy...Growth,
General.government.final.consumption.expenditure..current.LCU.,Economy...Growth,
General.government.final.consumption.expenditure..current.US$.,Economy...Growth,
"Goods.exports..BoP,.current.US$.",Economy...Growth,
"Goods.imports..BoP,.current.US$.",Economy...Growth,
"Grants,.excluding.technical.cooperation..BoP,.current.US$.",Economy...Growth,
Gross.capital.formation....of.GDP.,Economy...Growth,
Gross.capital.formation..annual...growth.,Economy...Growth,
Gross.capital.formation..constant.2015.US$.,Economy...Growth,
Gross.capital.formation..constant.LCU.,Economy...Growth,
Gross.capital.formation..current.LCU.,Economy...Growth,
Gross.capital.formation..current.US$.,Economy...Growth,
Gross.domestic.income..constant.LCU.,Economy...Growth,
Gross.domestic.savings....of.GDP.,Economy...Growth,
Gross.domestic.savings..current.LCU.,Economy...Growth,
Gross.domestic.savings..current.US$.,Economy...Growth,
Gross.fixed.capital.formation....of.GDP.,Economy...Growth,
Gross.fixed.capital.formation..annual...growth.,Economy...Growth,
Gross.fixed.capital.formation..constant.2015.US$.,Economy...Growth,
Gross.fixed.capital.formation..constant.LCU.,Economy...Growth,
Gross.fixed.capital.formation..current.LCU.,Economy...Growth,
Gross.fixed.capital.formation..current.US$.,Economy...Growth,
"Gross.fixed.capital.formation,.private.sector....of.GDP.",Economy...Growth,
"Gross.fixed.capital.formation,.private.sector..current.LCU.",Economy...Growth,
Gross.national.expenditure....of.GDP.,Economy...Growth,
Gross.national.expenditure..constant.2015.US$.,Economy...Growth,
Gross.national.expenditure..constant.LCU.,Economy...Growth,
Gross.national.expenditure..current.LCU.,Economy...Growth,
Gross.national.expenditure..current.US$.,Economy...Growth,
Gross.national.expenditure.deflator..base.year.varies.by.country.,Economy...Growth,
Gross.savings....of.GDP.,Economy...Growth,
Gross.savings....of.GNI.,Economy...Growth,
Gross.savings..current.LCU.,Economy...Growth,
Gross.savings..current.US$.,Economy...Growth,
Gross.value.added.at.basic.prices..GVA...constant.2015.US$.,Economy...Growth,
Gross.value.added.at.basic.prices..GVA...constant.LCU.,Economy...Growth,
Gross.value.added.at.basic.prices..GVA...current.LCU.,Economy...Growth,
Gross.value.added.at.basic.prices..GVA...current.US$.,Economy...Growth,
Households.and.NPISHs.Final.consumption.expenditure..annual...growth.,Economy...Growth,
Households.and.NPISHs.Final.consumption.expenditure..constant.2015.US$.,Economy...Growth,
Households.and.NPISHs.Final.consumption.expenditure..constant.LCU.,Economy...Growth,
Households.and.NPISHs.Final.consumption.expenditure..current.LCU.,Economy...Growth,
Households.and.NPISHs.Final.consumption.expenditure..current.US$.,Economy...Growth,
Households.and.NPISHs.Final.consumption.expenditure.per.capita..constant.2015.US$.,Economy...Growth,
Households.and.NPISHs.Final.consumption.expenditure.per.capita.growth..annual...,Economy...Growth,
"Households.and.NPISHs.Final.consumption.expenditure,.PPP..constant.2017.international.$.",Economy...Growth,
"Households.and.NPISHs.Final.consumption.expenditure,.PPP..current.international.$.",Economy...Growth,
Households.and.NPISHs.final.consumption.expenditure....of.GDP.,Economy...Growth,
Households.and.NPISHs.final.consumption.expenditure:.linked.series..current.LCU.,Economy...Growth,
"ICT.service.exports....of.service.exports,.BoP.",Economy...Growth,
"ICT.service.exports..BoP,.current.US$.",Economy...Growth,
Imports.of.goods.and.services....of.GDP.,Economy...Growth,
"Imports.of.goods.and.services..BoP,.current.US$.",Economy...Growth,
Imports.of.goods.and.services..annual...growth.,Economy...Growth,
Imports.of.goods.and.services..constant.2015.US$.,Economy...Growth,
Imports.of.goods.and.services..constant.LCU.,Economy...Growth,
Imports.of.goods.and.services..current.LCU.,Economy...Growth,
Imports.of.goods.and.services..current.US$.,Economy...Growth,
"Imports.of.goods,.services.and.primary.income..BoP,.current.US$.",Economy...Growth,
"Industry..including.construction.,.value.added....of.GDP.",Economy...Growth,
"Industry..including.construction.,.value.added..annual...growth.",Economy...Growth,
"Industry..including.construction.,.value.added..constant.2015.US$.",Economy...Growth,
"Industry..including.construction.,.value.added..constant.LCU.",Economy...Growth,
"Industry..including.construction.,.value.added..current.LCU.",Economy...Growth,
"Industry..including.construction.,.value.added..current.US$.",Economy...Growth,
"Industry..including.construction.,.value.added.per.worker..constant.2015.US$.",Economy...Growth,
"Inflation,.GDP.deflator..annual...",Economy...Growth,
"Inflation,.consumer.prices..annual...",Economy...Growth,
"Insurance.and.financial.services....of.service.exports,.BoP.",Economy...Growth,
"Insurance.and.financial.services....of.service.imports,.BoP.",Economy...Growth,
Machinery.and.transport.equipment....of.value.added.in.manufacturing.,Economy...Growth,
"Manufacturing,.value.added....of.GDP.",Economy...Growth,
"Manufacturing,.value.added..annual...growth.",Economy...Growth,
"Manufacturing,.value.added..constant.2015.US$.",Economy...Growth,
"Manufacturing,.value.added..constant.LCU.",Economy...Growth,
"Manufacturing,.value.added..current.LCU.",Economy...Growth,
"Manufacturing,.value.added..current.US$.",Economy...Growth,
Medium.and.high.tech.manufacturing.value.added....manufacturing.value.added.,Economy...Growth,
Net.ODA.received....of.GNI.,Economy...Growth,
Net.ODA.received.per.capita..current.US$.,Economy...Growth,
"Net.capital.account..BoP,.current.US$.",Economy...Growth,
"Net.errors.and.omissions..BoP,.current.US$.",Economy...Growth,
"Net.financial.account..BoP,.current.US$.",Economy...Growth,
Net.official.development.assistance.received..current.US$.,Economy...Growth,
"Net.primary.income..BoP,.current.US$.",Economy...Growth,
Net.primary.income..Net.income.from.abroad...constant.LCU.,Economy...Growth,
Net.primary.income..Net.income.from.abroad...current.LCU.,Economy...Growth,
Net.primary.income..Net.income.from.abroad...current.US$.,Economy...Growth,
"Net.secondary.income..BoP,.current.US$.",Economy...Growth,
Net.secondary.income..Net.current.transfers.from.abroad...constant.LCU.,Economy...Growth,
Net.secondary.income..Net.current.transfers.from.abroad...current.LCU.,Economy...Growth,
Net.secondary.income..Net.current.transfers.from.abroad...current.US$.,Economy...Growth,
"Net.trade.in.goods..BoP,.current.US$.",Economy...Growth,
"Net.trade.in.goods.and.services..BoP,.current.US$.",Economy...Growth,
